dateTime,last,lastDateTime,volBid,volAsk,bid,ask,vol
1356693600000,1.32220,0,0,0,0,0,0
1356693660000,1.32220,0,0,0,0,0,0
1356693720000,1.32228,0,0,0,0,0,0
1356693780000,1.32222,0,0,0,0,0,0
1356693840000,1.32220,0,0,0,0,0,0
1356693900000,1.32221,0,0,0,0,0,0
1356693960000,1.32220,0,0,0,0,0,0
1356694020000,1.32220,0,0,0,0,0,0
1356694080000,1.32245,0,0,0,0,0,0
1356694140000,1.32244,0,0,0,0,0,0
1356694200000,1.32237,0,0,0,0,0,0
1356694260000,1.32224,0,0,0,0,0,0
1356694320000,1.32219,0,0,0,0,0,0
1356694380000,1.32194,0,0,0,0,0,0
1356694440000,1.32197,0,0,0,0,0,0
1356694500000,1.32199,0,0,0,0,0,0
1356694560000,1.32202,0,0,0,0,0,0
1356694620000,1.32196,0,0,0,0,0,0
1356694680000,1.32209,0,0,0,0,0,0
1356694740000,1.32223,0,0,0,0,0,0
1356694800000,1.32222,0,0,0,0,0,0
1356694860000,1.32212,0,0,0,0,0,0
1356694920000,1.32204,0,0,0,0,0,0
1356694980000,1.32211,0,0,0,0,0,0
1356695040000,1.32219,0,0,0,0,0,0
1356695100000,1.32219,0,0,0,0,0,0
1356695160000,1.32218,0,0,0,0,0,0
1356695220000,1.32210,0,0,0,0,0,0
1356695280000,1.32202,0,0,0,0,0,0
1356695340000,1.32169,0,0,0,0,0,0
1356695400000,1.32168,0,0,0,0,0,0
1356695460000,1.32169,0,0,0,0,0,0
1356695520000,1.32180,0,0,0,0,0,0
1356695580000,1.32178,0,0,0,0,0,0
1356695640000,1.32188,0,0,0,0,0,0
1356695700000,1.32212,0,0,0,0,0,0
1356695760000,1.32201,0,0,0,0,0,0
1356695820000,1.32195,0,0,0,0,0,0
1356695880000,1.32202,0,0,0,0,0,0
1356695940000,1.32211,0,0,0,0,0,0
1356696000000,1.32211,0,0,0,0,0,0
1356696060000,1.32193,0,0,0,0,0,0
1356696120000,1.32190,0,0,0,0,0,0
1356696180000,1.32205,0,0,0,0,0,0
1356696240000,1.32215,0,0,0,0,0,0
1356696300000,1.32200,0,0,0,0,0,0
1356696360000,1.32197,0,0,0,0,0,0
